filename,first_name,first_name1,last_name,last_name1,middle_name,nick_name,bioguide_id,birth_year,death_year,position,state,party,congress_number
AAdams.jpg,Alma,Alma,Adams,Adams,S.,,A000370,1946,,Representative,NC,Democrat,119
AAdams1.jpg,Alma,Alma,Adams,Adams,S.,,A000370,1946,,Representative,NC,Democrat,119
AAdams2.jpg,Alma,Alma,Adams,Adams,S.,,A000370,1946,,Representative,NC,Democrat,119
AAdams3.jpg,Alma,Alma,Adams,Adams,S.,,A000370,1946,,Representative,NC,Democrat,119
AAdams4.jpg,Alma,Alma,Adams,Adams,S.,,A000370,1946,,Representative,NC,Democrat,119
RAderholt.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,1965,,Representative,AL,Republican,119
RAderholt1.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,1965,,Representative,AL,Republican,119
RAderholt2.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,1965,,Representative,AL,Republican,119
RAderholt3.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,1965,,Representative,AL,Republican,119
RAderholt4.jpg,Robert,Robert,Aderholt,Aderholt,B.,,A000055,1965,,Representative,AL,Republican,119
PAguilar.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,1979,,Representative,CA,Democrat,119
PAguilar1.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,1979,,Representative,CA,Democrat,119
PAguilar2.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,1979,,Representative,CA,Democrat,119
PAguilar3.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,1979,,Representative,CA,Democrat,119
PAguilar4.jpg,Pete,Peter,Aguilar,Aguilar,,,A000371,1979,,Representative,CA,Democrat,119
MAlford.jpg,Mark,Mark,Alford,Alford,,,A000379,1963,,Representative,MO,Republican,119
MAlford1.jpg,Mark,Mark,Alford,Alford,,,A000379,1963,,Representative,MO,Republican,119
MAlford2.jpg,Mark,Mark,Alford,Alford,,,A000379,1963,,Representative,MO,Republican,119
MAlford3.jpg,Mark,Mark,Alford,Alford,,,A000379,1963,,Representative,MO,Republican,119
MAlford4.jpg,Mark,Mark,Alford,Alford,,,A000379,1963,,Representative,MO,Republican,119
RAllen.jpg,Rick,Rick,Allen,Allen,W.,,A000372,1951,,Representative,GA,Republican,119
RAllen1.jpg,Rick,Rick,Allen,Allen,W.,,A000372,1951,,Representative,GA,Republican,119
RAllen2.jpg,Rick,Rick,Allen,Allen,W.,,A000372,1951,,Representative,GA,Republican,119
RAllen3.jpg,Rick,Rick,Allen,Allen,W.,,A000372,1951,,Representative,GA,Republican,119
RAllen4.jpg,Rick,Rick,Allen,Allen,W.,,A000372,1951,,Representative,GA,Republican,119
AAlsobrooks.jpg,Angela,Angela,Alsobrooks,Alsobrooks,D.,,A000382,1971,,Senator,MD,Democrat,119
AAlsobrooks1.jpg,Angela,Angela,Alsobrooks,Alsobrooks,D.,,A000382,1971,,Senator,MD,Democrat,119
AAlsobrooks2.jpg,Angela,Angela,Alsobrooks,Alsobrooks,D.,,A000382,1971,,Senator,MD,Democrat,119
AAlsobrooks3.jpg,Angela,Angela,Alsobrooks,Alsobrooks,D.,,A000382,1971,,Senator,MD,Democrat,119
AAlsobrooks4.jpg,Angela,Angela,Alsobrooks,Alsobrooks,D.,,A000382,1971,,Senator,MD,Democrat,119
GAmo.jpg,Gabe,Gabe,Amo,Amo,,,A000380,1987,,Representative,RI,Democrat,119
GAmo1.jpg,Gabe,Gabe,Amo,Amo,,,A000380,1987,,Representative,RI,Democrat,119
GAmo2.jpg,Gabe,Gabe,Amo,Amo,,,A000380,1987,,Representative,RI,Democrat,119
GAmo3.jpg,Gabe,Gabe,Amo,Amo,,,A000380,1987,,Representative,RI,Democrat,119
GAmo4.jpg,Gabe,Gabe,Amo,Amo,,,A000380,1987,,Representative,RI,Democrat,119
MAmodei.jpg,Mark,Mark,Amodei,Amodei,E.,,A000369,1958,,Representative,NV,Republican,119
MAmodei1.jpg,Mark,Mark,Amodei,Amodei,E.,,A000369,1958,,Representative,NV,Republican,119
MAmodei2.jpg,Mark,Mark,Amodei,Amodei,E.,,A000369,1958,,Representative,NV,Republican,119
MAmodei3.jpg,Mark,Mark,Amodei,Amodei,E.,,A000369,1958,,Representative,NV,Republican,119
MAmodei4.jpg,Mark,Mark,Amodei,Amodei,E.,,A000369,1958,,Representative,NV,Republican,119
YAnsari.jpg,Yassamin,Yassamin,Ansari,Ansari,,,A000381,1992,,Representative,AZ,Democrat,119
YAnsari1.jpg,Yassamin,Yassamin,Ansari,Ansari,,,A000381,1992,,Representative,AZ,Democrat,119
YAnsari2.jpg,Yassamin,Yassamin,Ansari,Ansari,,,A000381,1992,,Representative,AZ,Democrat,119
YAnsari3.jpg,Yassamin,Yassamin,Ansari,Ansari,,,A000381,1992,,Representative,AZ,Democrat,119
