filename,first_name,first_name1,first_name2,last_name,last_name1,last_name2,middle_name,middle_name1,nick_name,nick_name1,suffix,bioguide_id,cid,fecid,state,title,party,chamber,congress_number,assumed_office,date_of_birth,age,match_method,merge_note,birth_year,death_year,tenure_months,tenure_pretty,tenure_years
AAdams.jpg,Alma,Alma,Alma,Adams,Adams,Adams,S.,Shealey,,,,A000370,N00035451,H4NC12100,NC,Representative,Democrat,House,119,11/12/14,5/27/46,79,fecid,,1946,,130,"10 years, 10 months",10.83
RAderholt.jpg,Robert,Robert,Robert,Aderholt,Aderholt,Aderholt,B.,Brown,,,,A000055,,H6AL04098,AL,Representative,Republican,House,119,1/3/97,7/22/65,60,slug,,1965,,344,"28 years, 8 months",28.67
PAguilar.jpg,Pete,Peter,Pete,Aguilar,Aguilar,Aguilar,,,,,,A000371,N00033997,H2CA31125,CA,Representative,Democrat,House,119,1/3/15,6/19/79,46,fecid,,1979,,128,"10 years, 8 months",10.67
MAlford.jpg,Mark,Mark,Mark,Alford,Alford,Alford,,,,,,A000379,N00049617,H2MO04207,MO,Representative,Republican,House,119,1/3/23,10/4/63,61,fecid,,1963,,32,"2 years, 8 months",2.67
RAllen.jpg,Rick,Rick,,Allen,Allen,,W.,,,,,A000372,,,GA,Representative,Republican,House,119,1/3/15,11/7/51,73,,,1951,,128,"10 years, 8 months",10.67
AAlsobrooks.jpg,Angela,Angela,Angela,Alsobrooks,Alsobrooks,Alsobrooks,D.,D.,,,,A000382,,,MD,Senator,Democrat,Senate,119,1/3/25,2/23/71,54,slug,,1971,,8,8 months,0.67
GAmo.jpg,Gabe,Gabe,,Amo,Amo,,,,,,,A000380,,,RI,Representative,Democrat,House,119,11/13/23,12/11/87,37,,,1987,,22,"1 year, 10 months",1.83
MAmodei.jpg,Mark,Mark,Mark,Amodei,Amodei,Amodei,E.,Eugene,,,,A000369,N00031177,H2NV02395,NV,Representative,Republican,House,119,9/13/11,6/12/58,67,fecid,,1958,,168,14 years,14
YAnsari.jpg,Yassamin,Yassamin,Yassamin,Ansari,Ansari,Ansari,,,,,,A000381,,H4AZ03109,AZ,Representative,Democrat,House,119,1/3/25,4/7/92,33,slug,,1992,,8,8 months,0.67
JArrington.jpg,Jodey,Jodey,Jodey,Arrington,Arrington,Arrington,C.,Cook,,,,A000375,N00038285,H6TX19099,TX,Representative,Republican,House,119,1/3/17,3/9/72,53,fecid,,1972,,104,"8 years, 8 months",8.67
JAuchincloss.jpg,Jake,Jake,Jacob,Auchincloss,Auchincloss,Auchincloss,,D.,,Jake,,A000148,N00045506,H0MA04192,MA,Representative,Democrat,House,119,1/3/21,1/29/88,37,fecid,,1988,,56,"4 years, 8 months",4.67
BBabin.jpg,Brian,Brian,Brian,Babin,Babin,Babin,,,,,,B001291,N00005736,H6TX02079,TX,Representative,Republican,House,119,1/3/15,3/23/48,77,fecid,,1948,,128,"10 years, 8 months",10.67
DBacon.jpg,Don,Donald,,Bacon,Bacon,,J.,,,,,B001298,,,NE,Representative,Republican,House,119,,8/16/63,62,,,1963,,,,
