filename,first_name,last_name,title,state,party,terms,nananame,,cid,feccandid,slug_url
AAdams.jpg,Alma S.,Adams,Representative,North Carolina,Democratic,House: 2014-Present,alma-s-adams,,,,
AAdams1.jpg,Alma S.,Adams,Representative,North Carolina,Democratic,House: 2014-Present,alma-s-adams,,,,
AAdams2.jpg,Alma S.,Adams,Representative,North Carolina,Democratic,House: 2014-Present,alma-s-adams,,,,
AAdams3.jpg,Alma S.,Adams,Representative,North Carolina,Democratic,House: 2014-Present,alma-s-adams,,,,
AAdams4.jpg,Alma S.,Adams,Representative,North Carolina,Democratic,House: 2014-Present,alma-s-adams,,,,
RAderholt.jpg,Robert B.,Aderholt,Representative,Alabama,Republican,House: 1997-Present,robert-b-aderholt,,,,
RAderholt1.jpg,Robert B.,Aderholt,Representative,Alabama,Republican,House: 1997-Present,robert-b-aderholt,,,,
RAderholt2.jpg,Robert B.,Aderholt,Representative,Alabama,Republican,House: 1997-Present,robert-b-aderholt,,,,
RAderholt3.jpg,Robert B.,Aderholt,Representative,Alabama,Republican,House: 1997-Present,robert-b-aderholt,,,,
RAderholt4.jpg,Robert B.,Aderholt,Representative,Alabama,Republican,House: 1997-Present,robert-b-aderholt,,,,
PAguilar.jpg,Pete,Aguilar,Representative,California,Democratic,House: 2015-Present,pete-aguilar,,N00033997,H2CA31125,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997
PAguilar1.jpg,Pete,Aguilar,Representative,California,Democratic,House: 2015-Present,pete-aguilar,,N00033997,H2CA31125,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997
PAguilar2.jpg,Pete,Aguilar,Representative,California,Democratic,House: 2015-Present,pete-aguilar,,N00033997,H2CA31125,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997
PAguilar3.jpg,Pete,Aguilar,Representative,California,Democratic,House: 2015-Present,pete-aguilar,,N00033997,H2CA31125,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997
PAguilar4.jpg,Pete,Aguilar,Representative,California,Democratic,House: 2015-Present,pete-aguilar,,N00033997,H2CA31125,https://www.opensecrets.org/members-of-congress/pete-aguilar/summary?cid=N00033997
MAlford.jpg,Mark,Alford,Representative,Missouri,Republican,House: 2023-Present,mark-alford,,N00049617,H2MO04207,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617
MAlford1.jpg,Mark,Alford,Representative,Missouri,Republican,House: 2023-Present,mark-alford,,N00049617,H2MO04207,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617
MAlford2.jpg,Mark,Alford,Representative,Missouri,Republican,House: 2023-Present,mark-alford,,N00049617,H2MO04207,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617
MAlford3.jpg,Mark,Alford,Representative,Missouri,Republican,House: 2023-Present,mark-alford,,N00049617,H2MO04207,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617
MAlford4.jpg,Mark,Alford,Representative,Missouri,Republican,House: 2023-Present,mark-alford,,N00049617,H2MO04207,https://www.opensecrets.org/members-of-congress/mark-alford/summary?cid=N00049617
RAllen.jpg,Rick W.,Allen,Representative,Georgia,Republican,House: 2015-Present,rick-w-allen,,,,
RAllen1.jpg,Rick W.,Allen,Representative,Georgia,Republican,House: 2015-Present,rick-w-allen,,,,
RAllen2.jpg,Rick W.,Allen,Representative,Georgia,Republican,House: 2015-Present,rick-w-allen,,,,
RAllen3.jpg,Rick W.,Allen,Representative,Georgia,Republican,House: 2015-Present,rick-w-allen,,,,
RAllen4.jpg,Rick W.,Allen,Representative,Georgia,Republican,House: 2015-Present,rick-w-allen,,,,
AAlsobrooks.jpg,Angela D.,Alsobrooks,Senator,Maryland,Democratic,Senate: 2025-Present,angela-d-alsobrooks,,,,
AAlsobrooks1.jpg,Angela D.,Alsobrooks,Senator,Maryland,Democratic,Senate: 2025-Present,angela-d-alsobrooks,,,,
AAlsobrooks2.jpg,Angela D.,Alsobrooks,Senator,Maryland,Democratic,Senate: 2025-Present,angela-d-alsobrooks,,,,
