filename,first_name,first_name1,first_name2,last_name,last_name1,last_name2,middle_name,middle_name1,nick_name,nick_name1,suffix,bioguide_id,cid,fecid,state,title,party,chamber,congress_number,assumed_office,date_of_birth,age,match_method,merge_note,birth_year,death_year,tenure_months,tenure_pretty,tenure_years
AAdams.jpg,Alma,Alma,Alma,Adams,Adams,Adams,S.,Shealey,,,,A000370,N00035451,H4NC12100,NC,Representative,Democrat,House,119,11/12/14,5/27/46,79,fecid,,1946,,130,"10 years, 10 months",10.83
AAdams1.jpg,Alma,Alma,Alma,Adams,Adams,Adams,S.,Shealey,,,,A000370,N00035451,H4NC12100,NC,Representative,Democrat,House,119,11/12/14,5/27/46,79,fecid,,1946,,130,"10 years, 10 months",10.83
AAdams2.jpg,Alma,Alma,Alma,Adams,Adams,Adams,S.,Shealey,,,,A000370,N00035451,H4NC12100,NC,Representative,Democrat,House,119,11/12/14,5/27/46,79,fecid,,1946,,130,"10 years, 10 months",10.83
AAdams3.jpg,Alma,Alma,Alma,Adams,Adams,Adams,S.,Shealey,,,,A000370,N00035451,H4NC12100,NC,Representative,Democrat,House,119,11/12/14,5/27/46,79,fecid,,1946,,130,"10 years, 10 months",10.83
AAdams4.jpg,Alma,Alma,Alma,Adams,Adams,Adams,S.,Shealey,,,,A000370,N00035451,H4NC12100,NC,Representative,Democrat,House,119,11/12/14,5/27/46,79,fecid,,1946,,130,"10 years, 10 months",10.83
RAderholt.jpg,Robert,Robert,Robert,Aderholt,Aderholt,Aderholt,B.,Brown,,,,A000055,,H6AL04098,AL,Representative,Republican,House,119,1/3/97,7/22/65,60,slug,,1965,,344,"28 years, 8 months",28.67
RAderholt1.jpg,Robert,Robert,Robert,Aderholt,Aderholt,Aderholt,B.,Brown,,,,A000055,,H6AL04098,AL,Representative,Republican,House,119,1/3/97,7/22/65,60,slug,,1965,,344,"28 years, 8 months",28.67
RAderholt2.jpg,Robert,Robert,Robert,Aderholt,Aderholt,Aderholt,B.,Brown,,,,A000055,,H6AL04098,AL,Representative,Republican,House,119,1/3/97,7/22/65,60,slug,,1965,,344,"28 years, 8 months",28.67
RAderholt3.jpg,Robert,Robert,Robert,Aderholt,Aderholt,Aderholt,B.,Brown,,,,A000055,,H6AL04098,AL,Representative,Republican,House,119,1/3/97,7/22/65,60,slug,,1965,,344,"28 years, 8 months",28.67
RAderholt4.jpg,Robert,Robert,Robert,Aderholt,Aderholt,Aderholt,B.,Brown,,,,A000055,,H6AL04098,AL,Representative,Republican,House,119,1/3/97,7/22/65,60,slug,,1965,,344,"28 years, 8 months",28.67
PAguilar.jpg,Pete,Peter,Pete,Aguilar,Aguilar,Aguilar,,,,,,A000371,N00033997,H2CA31125,CA,Representative,Democrat,House,119,1/3/15,6/19/79,46,fecid,,1979,,128,"10 years, 8 months",10.67
